confidence,clarity,engagement,design,label
0.22,0.31,0.28,0.25,0
0.35,0.40,0.38,0.36,0
0.48,0.45,0.50,0.47,0
0.52,0.50,0.48,0.51,0
0.58,0.60,0.62,0.59,1
0.62,0.65,0.63,0.61,1
0.68,0.70,0.69,0.72,1
0.75,0.73,0.78,0.76,1
0.82,0.80,0.83,0.81,1
0.90,0.88,0.91,0.89,1
0.30,0.34,0.32,0.31,0
0.44,0.46,0.42,0.45,0
0.49,0.52,0.50,0.48,1
0.55,0.54,0.53,0.56,0
0.60,0.58,0.61,0.59,1
0.65,0.67,0.66,0.64,1
0.70,0.72,0.71,0.73,1
0.78,0.75,0.77,0.76,1
0.85,0.83,0.86,0.84,1
0.92,0.90,0.93,0.91,1
0.26,0.28,0.30,0.27,0
0.33,0.36,0.34,0.35,0
0.41,0.39,0.43,0.40,0
0.47,0.49,0.46,0.48,1
0.54,0.56,0.55,0.53,0
0.59,0.61,0.60,0.58,1
0.66,0.68,0.67,0.65,1
0.73,0.71,0.74,0.72,1
0.80,0.78,0.81,0.79,1
0.88,0.86,0.89,0.87,1
0.21,0.29,0.27,0.24,0
0.34,0.37,0.35,0.33,0
0.46,0.44,0.48,0.45,1
0.51,0.49,0.47,0.50,0
0.57,0.59,0.60,0.58,1
0.63,0.66,0.64,0.62,1
0.69,0.71,0.70,0.68,1
0.76,0.74,0.79,0.77,1
0.83,0.81,0.84,0.82,1
0.91,0.89,0.92,0.90,1
0.23,0.32,0.29,0.26,0
0.36,0.39,0.37,0.34,0
0.42,0.41,0.44,0.43,1
0.48,0.50,0.47,0.49,0
0.56,0.55,0.54,0.57,1
0.61,0.60,0.62,0.59,1
0.67,0.69,0.68,0.66,1
0.74,0.72,0.75,0.73,1
0.81,0.79,0.82,0.80,1
0.89,0.87,0.90,0.88,1
0.22,0.31,0.28,0.25,0
0.35,0.40,0.38,0.36,0
0.48,0.45,0.50,0.47,0
0.52,0.50,0.48,0.51,0
0.58,0.60,0.62,0.59,1
0.62,0.65,0.63,0.61,1
0.68,0.70,0.69,0.72,1
0.75,0.73,0.78,0.76,1
0.82,0.80,0.83,0.81,1
0.90,0.88,0.91,0.89,1
0.30,0.34,0.32,0.31,0
0.44,0.46,0.42,0.45,0
0.49,0.52,0.50,0.48,0
0.55,0.54,0.53,0.56,1
0.60,0.58,0.61,0.59,1
0.65,0.67,0.66,0.64,1
0.70,0.72,0.71,0.73,1
0.78,0.75,0.77,0.76,1
0.85,0.83,0.86,0.84,1
0.92,0.90,0.93,0.91,1
0.26,0.28,0.30,0.27,0
0.33,0.36,0.34,0.35,0
0.41,0.39,0.43,0.40,0
0.47,0.49,0.46,0.48,0
0.54,0.56,0.55,0.53,1
0.59,0.61,0.60,0.58,1
0.66,0.68,0.67,0.65,1
0.73,0.71,0.74,0.72,1
0.80,0.78,0.81,0.79,1
0.88,0.86,0.89,0.87,1
0.21,0.29,0.27,0.24,0
0.34,0.37,0.35,0.33,0
0.46,0.44,0.48,0.45,0
0.51,0.49,0.47,0.50,0
0.57,0.59,0.60,0.58,1
0.63,0.66,0.64,0.62,1
0.69,0.71,0.70,0.68,1
0.76,0.74,0.79,0.77,1
0.83,0.81,0.84,0.82,1
0.91,0.89,0.92,0.90,1
0.23,0.32,0.29,0.26,0
0.36,0.39,0.37,0.34,0
0.42,0.41,0.44,0.43,0
0.48,0.50,0.47,0.49,0
0.56,0.55,0.54,0.57,1
0.61,0.60,0.62,0.59,1
0.67,0.69,0.68,0.66,1
0.74,0.72,0.75,0.73,1
0.81,0.79,0.82,0.80,1
0.89,0.87,0.90,0.88,1
0.24,0.30,0.31,0.28,0
0.37,0.35,0.36,0.34,0
0.43,0.45,0.44,0.42,0
0.50,0.48,0.49,0.47,0
0.57,0.58,0.56,0.55,1
0.62,0.64,0.63,0.61,1
0.68,0.66,0.69,0.67,1
0.75,0.77,0.76,0.74,1
0.82,0.84,0.83,0.81,1
0.90,0.92,0.91,0.89,1
